candidate_index	candidate_id	label	origin	varied_field	predicted_final_loss	predicted_delta_vs_baseline	validation_loss	actual_delta_vs_baseline	predicted_direction_correct	train_loss	optimizer_updates	training_elapsed_seconds	peak_memory_allocated_mb_rank0	attempt	launcher_exit_code	completed_at	manifest_sha256	predictions_sha256	training_seed	config_json
0	new20_adamw_7872126e06ac	gpt2_new20_adamw_000_7872126e06ac	history_disjoint_20point_maximin_latin_hypercube_v1	joint_optimizer_schedule	3.550182636693627	0.0	3.2552123069763184	0.0		2.931124210357666	5120	26432.81796979904	9906.95068359375	4	1	2026-09-03T07:10:18.447271-04:00	f674ebb0b3f0d848dc0da8a2d6a73f28f2600cb1710a511ab23e36dbc71bb9a4	e87d7ef9c575b7dc6cd675360c7efc80faab1b13a65d7132eabba704bfdb98f7	0	"{""beta1"": 0.9, ""beta2"": 0.902, ""data_size_b"": 2.68435456, ""epsilon_exponent"": 20, ""global_batch_size"": 128, ""hidden_dim"": 512, ""learning_rate"": 0.00475682846, ""lr_schedule"": ""cosine"", ""max_grad_norm"": 0.26334026, ""max_step"": 5119, ""min_lr"": 0.000208111245, ""min_lr_ratio"": 0.04375, ""model_size_m"": 134.513152, ""num_heads"": 8, ""num_layers"": 32, ""optimizer"": ""adamw"", ""sequence_len"": 4096, ""warmup_steps"": 1075, ""weight_decay"": 0.3}"
1	new20_adamw_6403d6a62847	gpt2_new20_adamw_001_6403d6a62847	history_disjoint_20point_maximin_latin_hypercube_v1	joint_optimizer_schedule	3.6564383989726608	0.10625576227903366	3.4533145427703857	0.19810223579406738	True	3.108830690383911	5120	26670.6671769619	9906.95068359375	2	1	2026-09-03T14:35:51.602656-04:00	f674ebb0b3f0d848dc0da8a2d6a73f28f2600cb1710a511ab23e36dbc71bb9a4	e87d7ef9c575b7dc6cd675360c7efc80faab1b13a65d7132eabba704bfdb98f7	0	"{""beta1"": 0.9, ""beta2"": 0.93, ""data_size_b"": 2.68435456, ""epsilon_exponent"": 22, ""global_batch_size"": 128, ""hidden_dim"": 512, ""learning_rate"": 0.007210003701, ""lr_schedule"": ""cosine"", ""max_grad_norm"": 0.91700404, ""max_step"": 5119, ""min_lr"": 9.9137551e-05, ""min_lr_ratio"": 0.01375, ""model_size_m"": 134.513152, ""num_heads"": 8, ""num_layers"": 32, ""optimizer"": ""adamw"", ""sequence_len"": 4096, ""warmup_steps"": 1975, ""weight_decay"": 0.74}"
2	new20_adamw_999f14830691	gpt2_new20_adamw_002_999f14830691	history_disjoint_20point_maximin_latin_hypercube_v1	joint_optimizer_schedule	3.5352859458481376	-0.014896690845489502	3.3001160621643066	0.04490375518798828	False	2.959354877471924	5120	26540.152999162674	9906.95068359375	2	recovered	2026-09-04T00:04:49.044486-04:00	f674ebb0b3f0d848dc0da8a2d6a73f28f2600cb1710a511ab23e36dbc71bb9a4	e87d7ef9c575b7dc6cd675360c7efc80faab1b13a65d7132eabba704bfdb98f7	0	"{""beta1"": 0.9, ""beta2"": 0.938, ""data_size_b"": 2.68435456, ""epsilon_exponent"": 21, ""global_batch_size"": 128, ""hidden_dim"": 512, ""learning_rate"": 0.013454342644, ""lr_schedule"": ""cosine"", ""max_grad_norm"": 0.3597334, ""max_step"": 5119, ""min_lr"": 0.000117725498, ""min_lr_ratio"": 0.00875, ""model_size_m"": 134.513152, ""num_heads"": 8, ""num_layers"": 32, ""optimizer"": ""adamw"", ""sequence_len"": 4096, ""warmup_steps"": 1525, ""weight_decay"": 0.02}"
3	new20_adamw_439f9d83563f	gpt2_new20_adamw_003_439f9d83563f	history_disjoint_20point_maximin_latin_hypercube_v1	joint_optimizer_schedule	3.644782233849675	0.09459959715604782	3.5778720378875732	0.3226597309112549	True	3.2178568840026855	5120	27544.472316980362	9906.95068359375	1	1	2026-09-04T13:46:02.642605-04:00	f674ebb0b3f0d848dc0da8a2d6a73f28f2600cb1710a511ab23e36dbc71bb9a4	e87d7ef9c575b7dc6cd675360c7efc80faab1b13a65d7132eabba704bfdb98f7	0	"{""beta1"": 0.9, ""beta2"": 0.954, ""data_size_b"": 2.68435456, ""epsilon_exponent"": 18, ""global_batch_size"": 128, ""hidden_dim"": 512, ""learning_rate"": 0.012553345566, ""lr_schedule"": ""cosine"", ""max_grad_norm"": 0.32420989, ""max_step"": 5119, ""min_lr"": 0.000360908685, ""min_lr_ratio"": 0.02875, ""model_size_m"": 134.513152, ""num_heads"": 8, ""num_layers"": 32, ""optimizer"": ""adamw"", ""sequence_len"": 4096, ""warmup_steps"": 1675, ""weight_decay"": 0.66}"
4	new20_adamw_9c8a7bf73108	gpt2_new20_adamw_004_9c8a7bf73108	history_disjoint_20point_maximin_latin_hypercube_v1	joint_optimizer_schedule	3.6667789107715194	0.1165962740778923	3.503357410430908	0.24814510345458984	True	3.1485960483551025	5120	26956.198968172073	9906.95068359375	1	1	2026-09-05T01:45:41.611810-04:00	f674ebb0b3f0d848dc0da8a2d6a73f28f2600cb1710a511ab23e36dbc71bb9a4	e87d7ef9c575b7dc6cd675360c7efc80faab1b13a65d7132eabba704bfdb98f7	0	"{""beta1"": 0.9, ""beta2"": 0.934, ""data_size_b"": 2.68435456, ""epsilon_exponent"": 11, ""global_batch_size"": 128, ""hidden_dim"": 512, ""learning_rate"": 0.008282119391, ""lr_schedule"": ""cosine"", ""max_grad_norm"": 1.1289644, ""max_step"": 5119, ""min_lr"": 0.000300226828, ""min_lr_ratio"": 0.03625, ""model_size_m"": 134.513152, ""num_heads"": 8, ""num_layers"": 32, ""optimizer"": ""adamw"", ""sequence_len"": 4096, ""warmup_steps"": 1825, ""weight_decay"": 0.78}"
5	new20_adamw_cbe50ff3e579	gpt2_new20_adamw_005_cbe50ff3e579	history_disjoint_20point_maximin_latin_hypercube_v1	joint_optimizer_schedule	3.5266972145592277	-0.023485422134399414	3.276146411895752	0.020934104919433594	False	2.938283920288086	5120	26655.496993541718	9906.95068359375	1	1	2026-09-05T09:11:45.404923-04:00	f674ebb0b3f0d848dc0da8a2d6a73f28f2600cb1710a511ab23e36dbc71bb9a4	e87d7ef9c575b7dc6cd675360c7efc80faab1b13a65d7132eabba704bfdb98f7	0	"{""beta1"": 0.9, ""beta2"": 0.918, ""data_size_b"": 2.68435456, ""epsilon_exponent"": 24, ""global_batch_size"": 128, ""hidden_dim"": 512, ""learning_rate"": 0.006276672783, ""lr_schedule"": ""cosine"", ""max_grad_norm"": 0.4914103, ""max_step"": 5119, ""min_lr"": 7.0612569e-05, ""min_lr_ratio"": 0.01125, ""model_size_m"": 134.513152, ""num_heads"": 8, ""num_layers"": 32, ""optimizer"": ""adamw"", ""sequence_len"": 4096, ""warmup_steps"": 3925, ""weight_decay"": 0.14}"
6	new20_adamw_d7d748e2c249	gpt2_new20_adamw_006_d7d748e2c249	history_disjoint_20point_maximin_latin_hypercube_v1	joint_optimizer_schedule	3.5964298135196273	0.046247176826000214	3.2915565967559814	0.036344289779663086	True	2.958451271057129	5120	26683.154975414276	9906.95068359375	1	1	2026-09-05T16:37:12.392282-04:00	f674ebb0b3f0d848dc0da8a2d6a73f28f2600cb1710a511ab23e36dbc71bb9a4	e87d7ef9c575b7dc6cd675360c7efc80faab1b13a65d7132eabba704bfdb98f7	0	"{""beta1"": 0.9, ""beta2"": 0.922, ""data_size_b"": 2.68435456, ""epsilon_exponent"": 25, ""global_batch_size"": 128, ""hidden_dim"": 512, ""learning_rate"": 0.004438277888, ""lr_schedule"": ""cosine"", ""max_grad_norm"": 0.29219431, ""max_step"": 5119, ""min_lr"": 0.000171983268, ""min_lr_ratio"": 0.03875, ""model_size_m"": 134.513152, ""num_heads"": 8, ""num_layers"": 32, ""optimizer"": ""adamw"", ""sequence_len"": 4096, ""warmup_steps"": 2275, ""weight_decay"": 0.58}"
7	new20_adamw_06e5d43d99ea	gpt2_new20_adamw_007_06e5d43d99ea	history_disjoint_20point_maximin_latin_hypercube_v1	joint_optimizer_schedule	3.5587159952675407	0.008533358573913574	3.4574713706970215	0.20225906372070312	True	3.112668514251709	5120	26570.32034087181	9907.01318359375	1	1	2026-09-06T00:00:47.004028-04:00	f674ebb0b3f0d848dc0da8a2d6a73f28f2600cb1710a511ab23e36dbc71bb9a4	e87d7ef9c575b7dc6cd675360c7efc80faab1b13a65d7132eabba704bfdb98f7	0	"{""beta1"": 0.9, ""beta2"": 0.97, ""data_size_b"": 2.68435456, ""epsilon_exponent"": 16, ""global_batch_size"": 128, ""hidden_dim"": 512, ""learning_rate"": 0.007727490631, ""lr_schedule"": ""cosine"", ""max_grad_norm"": 0.39914919, ""max_step"": 5119, ""min_lr"": 0.000318758989, ""min_lr_ratio"": 0.04125, ""model_size_m"": 134.513152, ""num_heads"": 8, ""num_layers"": 32, ""optimizer"": ""adamw"", ""sequence_len"": 4096, ""warmup_steps"": 2725, ""weight_decay"": 0.46}"
8	new20_adamw_6ed2a586e72b	gpt2_new20_adamw_008_6ed2a586e72b	history_disjoint_20point_maximin_latin_hypercube_v1	joint_optimizer_schedule	3.551271732762963	0.0010890960693359375	4.589452266693115	1.3342399597167969	True	4.5608930587768555	5120	26282.486548662186	9906.95068359375	1	1	2026-09-06T07:19:33.075034-04:00	f674ebb0b3f0d848dc0da8a2d6a73f28f2600cb1710a511ab23e36dbc71bb9a4	e87d7ef9c575b7dc6cd675360c7efc80faab1b13a65d7132eabba704bfdb98f7	0	"{""beta1"": 0.9, ""beta2"": 0.978, ""data_size_b"": 2.68435456, ""epsilon_exponent"": 19, ""global_batch_size"": 128, ""hidden_dim"": 512, ""learning_rate"": 0.015454981263, ""lr_schedule"": ""cosine"", ""max_grad_norm"": 1.25266444, ""max_step"": 5119, ""min_lr"": 0.000289780899, ""min_lr_ratio"": 0.01875, ""model_size_m"": 134.513152, ""num_heads"": 8, ""num_layers"": 32, ""optimizer"": ""adamw"", ""sequence_len"": 4096, ""warmup_steps"": 3775, ""weight_decay"": 0.06}"
9	new20_adamw_a669d3432a18	gpt2_new20_adamw_009_a669d3432a18	history_disjoint_20point_maximin_latin_hypercube_v1	joint_optimizer_schedule	3.6188254839335983	0.06864284723997116	3.349480152130127	0.0942678451538086	True	3.008082389831543	5120	26620.39486503601	9906.95068359375	1	1	2026-09-06T14:44:13.334548-04:00	f674ebb0b3f0d848dc0da8a2d6a73f28f2600cb1710a511ab23e36dbc71bb9a4	e87d7ef9c575b7dc6cd675360c7efc80faab1b13a65d7132eabba704bfdb98f7	0	"{""beta1"": 0.9, ""beta2"": 0.926, ""data_size_b"": 2.68435456, ""epsilon_exponent"": 16, ""global_batch_size"": 128, ""hidden_dim"": 512, ""learning_rate"": 0.005856342784, ""lr_schedule"": ""cosine"", ""max_grad_norm"": 0.74483873, ""max_step"": 5119, ""min_lr"": 0.000139088141, ""min_lr_ratio"": 0.02375, ""model_size_m"": 134.513152, ""num_heads"": 8, ""num_layers"": 32, ""optimizer"": ""adamw"", ""sequence_len"": 4096, ""warmup_steps"": 3625, ""weight_decay"": 0.62}"
